Sample ID,Gene Name,0894E,10763,24713,30862,36F37,668C5,74B28,94BFD,99EC2,A4A2E,117DD,1A5CC,1ED9C,24713-LV3,7EB7D,838CA,A3CD2,B2539,B367E,BDC56,E2C05,E5076,105A1,135D6,19A26,23EE4,24713-LV2,24BE8,39D8F,70146,7B6D3,98D38,BE497-LV1,C35CE,02B37,29B5D,5F02C,7CE52,978FA,B367E,B54F0-LV1,C472B,CEDF2,CF462,E4F33,14C39-LV,246D8-LV2,27D6D-LV2,31331-LV1,31331-LV3,32B32-LV2,59B77-LV2,6634F-LV2,78BBB-LV1,0A105-LV1,0A105-LV2,0A105-LV3,78BBB-LV2,78BBB-LV3,AF1FF-LV2,AFAA5-LV2,B23E3-LV2,B23E3-LV3,B25DF-LV2,B54F0,B8BE2-LV2,D6A67-LV2,DC737-LV2,EF5CB-LV2,43149-LV2,5F09B-LV2,1952B,80993-LV2,8E214-LV2,93EF1-LV2,98578-LV2,A7A62-LV2,C535E-LV2,D03B3-LV2,E1FF3-LV2,E344C-LV2,105A1-LV2,207EB-LV2,2E9CE-LV2,4E8C1-LV2,4EBAA-LV2,541DB-LV2,589A0-LV2,B1069-LV2,E9D4C-LV2,F2517-LV2,F3CE1-LV2,F8EE8-LV2
Endogenous,CCL2,552.48,225.39,11630.62,1376.56,1130.1,230.25,688.87,2531.85,284.69,1317.27,169.79,957.92,560.41,1573.85,498.55,498.47,961.34,238.14,1727.07,849.72,649.53,924.03,528.39,747.51,2385.3,244.65,8281.14,430.15,1461.72,4702,698.41,306.38,170.5,1175.85,602.82,341.98,600.3,1146.61,456.63,1521.86,474.17,777.55,1038.5,1885.55,1749.09,1160.76,1334.26,306.07,545.78,801,550.69,603.76,560.22,1967.59,1640.86,440.93,355.84,1847.75,2717.99,973.9,435.96,336.08,575.94,351.98,682.97,1426.4,165.21,626.43,1209.2,1452.4,2074.15,595.79,795.31,1684.69,406.08,1646.27,5707.13,1559.12,1546.31,1540.87,909.52,554.23,1641.41,1162.21,1164.77,1505.8,4764.62,928.48,1341.24,2243.98,5615.56,536.94,1792.31
Endogenous,CCR2,285.77,431.99,379.58,267.67,213.8,224.49,216.31,612.54,208.77,217.93,113.19,294.74,101.89,129.24,107.45,210.89,118.58,164.24,242.18,480.97,210.78,168.48,144.96,108.91,360.99,116.31,111.01,197.92,126.68,197.92,225.29,419.25,71.79,214.16,1205.64,165.89,133.1,190.05,208.4,258.51,97.12,112.92,123.11,132.85,114.18,132.45,164.53,143.88,133.5,67.37,153.74,145.35,170.99,293.67,238.9,80.54,156.57,205.31,419.63,181.62,64.23,146.59,150.8,153.03,114.51,147.79,79.65,242.13,199.41,142.32,150.65,132.25,161.37,125.35,61.04,185.34,63.23,151.97,301.18,111.2,146.46,120.61,109.73,56.11,82.21,56.26,130.17,237.83,99.41,201.4,81.53,142.37,125.15
Endogenous,COL12A1,2819.56,694.95,1507.26,2198.68,3176.51,2060.72,1590.74,1088.97,1961.21,2329.43,3324.35,2120.52,2914.14,1092.31,1757.81,3516.14,2498.64,2459.45,2660.9,1122.27,2232.5,1582.17,2828.99,3034.59,3299.2,4034.7,1075.07,2053.11,2514.16,1642.73,2482.73,1435.13,489.06,2456.75,2599.65,1801.79,2420.23,2692.32,3723.56,2187.59,908.34,3148.91,3233.66,1442.02,2558.27,1741.13,3177.53,2979.58,742.11,1107.92,1528.17,2292.06,2054.14,1142.64,1555.99,2154.32,1337.96,1096.55,1282.63,1979.38,1438.29,727.58,1333.57,1678.28,1196.22,2147.43,1817.27,2858.91,1752.27,2601.18,1927.38,2400.2,1048.89,2545.64,1700.94,1971.92,2241.81,3130.13,4029.22,1707.67,2854.84,2239.96,1997.74,1723.27,2647.08,2205.26,2984.33,770.91,2276.13,1860.02,945.95,3242,3114.13
Endogenous,COL14A1,4242.04,431.99,401.69,1682.47,2412.92,3367.38,1404.37,326.69,5023.23,1617.53,8987.07,1776.65,1854.45,1446.69,2501.33,6150.37,1516.12,2459.45,3889.25,817.66,2206.69,1184.66,3726.78,3678.14,3267.22,5899.65,327.19,2894.94,2894.21,1252.55,2789.13,2467.13,1296.67,2727.48,1394.02,3703.12,1064.79,4987.65,6864.84,2910.31,1405.36,3281.19,5631.35,1011.34,1649.8,3029.52,3627.43,2296.81,883.46,598.87,1675.02,1934.27,1617.67,360.41,396.07,2154.32,811.31,351.73,354.39,2474.23,1808.09,454.07,850.29,1372.21,2014.14,2940.12,2566.6,4518.27,2263.53,2881.45,1920.27,4313.29,1548.36,3414.84,2107.03,2432.64,1610.64,4314.01,6728.84,1961.83,3149.34,2227.07,2132.36,1683.2,6661.64,2945.97,2529.2,951.33,3676.05,749.07,1009.55,6001.98,6194.79
Endogenous,COL15A1,3314.89,1033.03,2270.11,4784.51,3512.48,3643.68,2881.96,1905.69,2998.75,4513.58,3854.58,2910.59,1684.63,2382.66,2445.46,3926.42,5018.45,1453.5,4140.66,1138.3,4125.18,1966.53,4395.45,4985.04,5638.8,3966.52,1969.01,2274.79,3176.81,1979.2,3059.48,2047.88,861.46,4036.67,3880.64,2631.23,2178.48,3530.63,3790.99,3733.08,1759.56,5465.42,4048.77,2026.97,2995.13,3552.11,3833.09,3991.96,1248.62,1044.29,4430.78,4563.99,3500.82,1236.08,2929.66,3269.74,2724.31,1634.49,1487.26,3371.8,2160.36,1667.89,1711.48,2675.56,2390.39,3067.76,3262.82,4376.1,4015.81,4352.82,3795.28,2929.21,4656.61,3000.21,1973.74,4028.63,3052.68,2774.9,4987.86,3125.43,4380.96,3243.47,3852.95,3125.94,3511.87,2893.46,6189.21,1612.11,3268.73,2964.46,2288.55,3669.12,4525.62
Endogenous,COL18A1,1689.2,1333.55,1916.32,975.07,1649.34,1749.89,1490.9,2028.2,1872.64,1123.55,2362.2,1453.25,1239.7,1611.37,1615.98,1798.33,1511.89,1309.79,1590.59,1442.92,1780.84,1050.4,2436.2,1821.74,1887.22,1672.44,1622.34,1369.62,1932.72,2112.08,2117.76,1531.88,964.65,1826.4,1280.99,1641.01,1610.77,2250.99,1697.82,1524.64,1519.62,1642.21,1755.33,1542.72,2151.2,1009.04,1817.57,975.75,1264.33,1497.19,1509.82,2198.14,1590.67,1967.59,2049.51,2299.28,2078.1,1962.34,2262.76,1358.19,2265.46,1557.05,1833.21,1405.37,1950.75,2187.74,1097.44,1730.45,2036.54,2016.57,1287.94,1263.61,1678.99,2158.56,1491.05,1506.7,1465.33,1609.78,2762.06,1274.8,2106.64,2876.13,1596.16,753.43,3031.16,1464.55,2320.84,1768.51,2039.99,2455.77,2368.92,1559.99,2161.75
Endogenous,COL1A1,1155.77,262.95,995.01,430.18,496.33,633.18,815.34,1048.13,2910.18,493.98,4080.97,1543.31,635.13,502.38,322.34,1004.61,762.3,714.43,465.89,208.42,412.95,297.48,1482.3,1108.89,2015.16,565.5,1238.67,572.65,1445.48,1605.98,1216.58,645,300.61,1121.3,791.2,1120.38,1586.32,1419.01,904.08,525.36,765.52,732.38,923.33,771.36,12160.89,2169.79,1036.04,478.72,412.28,1156.58,594.29,2580.52,209.24,1868.81,1807.46,1038.91,822.7,2482.76,2775.82,679.1,1134.68,239.55,534.16,466.76,503.02,2478.84,448.42,8372.36,1538.01,956.83,790.74,1119.57,730,1307.26,512.59,846.4,746.53,732.34,2214.79,405.08,1377.01,1505.27,1108.6,841.6,2814.64,945.11,561.34,1540.64,660.44,1129.78,1602.22,1029.14,6562.89
Endogenous,COL1A2,3867.37,826.42,1510.95,2069.63,2252.57,2440.63,2236.35,1510.94,4314.66,2188.99,8483.65,4273.78,2367.31,1953.24,1336.62,3926.42,2278.42,1482.24,1948.73,368.75,2735.78,1487.4,4072.81,4093.97,5296.09,3188.46,1653.5,2604.66,3381.45,3144.09,3410.94,2144.63,1346.03,3432.58,1054.93,3386.66,4261.89,4238.02,4137.29,2126.44,1656.73,3139.23,3178.06,2481.22,8828.19,3477.45,2974.44,2105.85,761.74,1643.16,1647.49,4474.55,1309.43,2955.39,3492.33,2913.37,2607.59,3512.48,3886.44,1982.02,2890.21,1020.76,2240.18,1367.11,1678.79,4803.17,2274.54,7948.07,3468.49,2180.06,1609.92,3286.69,1682.83,2982.31,1716.51,2365.86,1572.93,1491.58,5917.12,1528.96,2925.41,3041.85,1347.29,1330.53,5005.49,2495.92,2184.35,2013.37,1149.7,2253.07,3355.92,2157.95,5343.48
Endogenous,COL21A1,203.21,300.52,73.7,219.87,259.62,253.27,199.67,231.41,455.51,227.62,223.41,151.47,54.34,177.19,180.51,276.08,156.69,160.13,229.87,272.55,193.57,192.18,201.07,232.67,297.02,192.51,81.8,219.03,97.45,206.4,180.23,290.25,188.44,200.02,941.9,153.13,114.08,166.82,226.78,211.25,68.55,196.81,227.36,100.71,152.24,214.33,159.39,214.51,153.13,138.49,167.5,167.71,179.99,72.08,138.31,144.96,210.66,77.98,111.21,176.35,169.33,269.94,261.63,137.73,167.67,147.79,197.66,251.02,167.59,172.97,171.98,166.3,184.42,234.18,132.04,113.3,170.83,161.98,301.18,109.21,157.6,149.15,111.99,200.38,171.33,86.26,171.75,91.97,241.97,111.09,175.2,187.12,342
Endogenous,COL27A1,374.67,281.74,254.28,325.02,114.54,293.57,146.43,81.67,145.51,319.63,199.58,397.08,156.24,170.93,227.78,279.91,347.27,184.77,264.76,192.39,314.01,121.1,205.74,361.38,347.28,192.51,175.28,126.67,211.14,466.52,346.95,177.38,161.52,240.42,565.14,331.77,217.3,293.52,254.37,261.29,388.47,348.44,312.74,383.54,297.86,146.9,259.65,232.82,176.69,172.18,195.04,192.31,204.74,144.17,260.9,148.99,315.99,190.98,229.84,247.42,414.56,371.83,283.43,183.64,347.62,253.03,126.85,346.53,210.02,283.18,212.07,166.3,195.95,198.36,175.01,252.12,122.02,163.85,444.43,140.98,167.15,325.91,170.82,208.4,359.6,198.77,376.94,367.88,186.2,402.15,516.34,138.3,190.07
