Sample ID,Gene Name,0894E,10763,24713,30862,36F37,668C5,74B28,94BFD,99EC2,A4A2E,117DD,1A5CC,1ED9C,24713-LV3,7EB7D,838CA,A3CD2,B2539,B367E,BDC56,E2C05,E5076,105A1,135D6,19A26,23EE4,24713-LV2,24BE8,39D8F,70146,7B6D3,98D38,BE497-LV1,C35CE,02B37,29B5D,5F02C,7CE52,978FA,B367E,B54F0-LV1,C472B,CEDF2,CF462,E4F33,14C39-LV,246D8-LV2,27D6D-LV2,31331-LV1,31331-LV3,32B32-LV2,59B77-LV2,6634F-LV2,78BBB-LV1,0A105-LV1,0A105-LV2,0A105-LV3,78BBB-LV2,78BBB-LV3,AF1FF-LV2,AFAA5-LV2,B23E3-LV2,B23E3-LV3,B25DF-LV2,B54F0,B8BE2-LV2,D6A67-LV2,DC737-LV2,EF5CB-LV2,43149-LV2,5F09B-LV2,1952B,80993-LV2,8E214-LV2,93EF1-LV2,98578-LV2,A7A62-LV2,C535E-LV2,D03B3-LV2,E1FF3-LV2,E344C-LV2,105A1-LV2,207EB-LV2,2E9CE-LV2,4E8C1-LV2,4EBAA-LV2,541DB-LV2,589A0-LV2,B1069-LV2,E9D4C-LV2,F2517-LV2,F3CE1-LV2,F8EE8-LV2
Endogenous,MYH6,4369.05,151442.05,48427.73,1099.34,2031.13,2037.7,1054.94,59280.65,5238.33,1259.15,8284.07,1305.88,21519.8,60479.51,2656.05,1227.01,1156.15,907.41,2131.39,18373.2,1234.54,3122.23,1861.05,2212.82,15970.52,1716.55,59461.77,14828.33,1344.78,87466.31,2518.78,2902.51,52979.68,3147.71,15597.93,5173.13,3680.6,2371.35,1875.57,2507.25,1691,1374.42,1916.17,6563.01,46839.86,1473.82,5768.92,5744.65,1048.37,2698.68,1156.45,3005.39,2171.14,155223.16,111836.35,1330.85,103270.35,163908.62,118584.59,2400.53,3565.57,33069.97,28232.09,3320.85,3868.79,1605.54,4369.12,5548.99,2272.02,2543.53,3812.09,5092.41,10112.37,2169.58,9309.42,1591.49,10642.22,1565.38,7760.94,1189.41,2160.23,1780.55,1892.54,2861.44,4799.64,4311.13,1632.5,14730.97,2180.12,73259.24,90830.8,1161.34,3118.14
Endogenous,MYH7,364529.91,337368.47,145648.03,350416.69,343666.03,449617.66,446237.91,112789.77,275163.97,351879.84,215892.2,320885.56,342224.66,224457.73,420248.97,367538.19,433742.62,310218.66,263460.97,200085.12,364693.53,321844.81,372916.72,334948.19,298989.12,297019.69,135016.45,250321.45,271532.44,260354.69,268585.47,319969.12,383111.12,300572.34,281893,421560.72,326497.44,307245.16,362714.91,290332.84,515173.75,453403.62,334419.78,335521.22,128932.91,342018.44,303575.38,303914.44,443708.38,385675.41,375558.66,329052.5,401619.91,97231.39,175339.58,345840.94,263349.81,124612.52,89741.01,369565.75,293986.09,383187.34,342447.88,390213.12,420988.5,394388.34,341788.22,300371.84,350280.97,212403.7,95391.42,274357.41,263663.06,291982.16,160489.16,254545.16,252672.28,138487.89,237433.92,360280.69,147571.86,287638.69,339460.34,339092.25,67227.01,282648.16,52168.08,140053.42,65412.44,84984.56,138120.77,319601.75,147714.56
Endogenous,NFKB2,723.94,225.39,932.37,626.15,832.31,667.72,475.89,326.69,480.81,644.1,551.08,892.42,587.58,439.84,704.84,755.38,707.24,472.18,708.07,224.45,447.36,658.14,579.83,717.81,868.21,685.82,605.7,538.35,857.54,978.29,743.47,516,381.37,650.55,715.85,492.56,730.69,747.51,597.61,622.64,668.4,677.53,535.14,587.09,668.53,558.7,552.73,541.5,510.44,419.21,585.11,503.13,697.46,477.88,443.22,410.73,515.26,410.61,407.77,550.12,632.54,404.01,421.51,494.81,650.25,665.05,342.21,553.12,689.45,699.93,537.93,494.97,587.84,588.2,462.14,716.58,908.48,461.54,797.03,778.38,403.29,599.35,364.25,360.69,805.8,564.44,893.08,421.19,555.21,558.72,912.41,380.34,550.14
Endogenous,NKX2-5,2394.09,2216.32,1544.12,2428.11,1893.69,1496.61,1347.8,884.79,1828.35,2518.3,1289.82,2005.89,1827.28,2019.94,1882.44,1928.7,1876.1,1855.88,1783.51,1186.4,2008.82,1890.19,1823.65,1980.16,2120.26,1973.23,1468.48,1852.55,1867.75,2284.56,2203.37,1789.88,2045.96,1961.77,1770.78,3539.78,2610.37,1936.36,2243.33,2113.93,3581.96,2145.51,2025.38,1906.98,1643.18,2201.1,2609.38,1705.61,2748.54,2290.7,2345.03,2786.25,2344.38,3080.86,2033.79,2097.95,2098.03,3259.42,2932.99,2632.16,3732.95,3005.06,2443.67,2219,3212.4,3094.63,1678.61,2563.46,2535.07,2237.72,2864.89,2495.79,3623.09,2139.27,2985.22,2120.49,1570.71,2130.74,3147.71,2345.07,2229.75,2659.77,1729.64,4865.24,3937.99,2516.55,3609.39,3063.7,2946.76,3048.92,4145.76,1690.15,1975.02
Endogenous,NPPA,8922.26,1352.33,3559.94,2581.06,5054.92,1577.2,14952.25,3838.61,890464.81,2595.79,459844.78,221917.27,375275.34,227059.28,220086.81,111853.11,2371.59,219350.55,19069.62,39006.98,5570.5,5225.65,583800.25,10415.62,16422.9,220921.88,5425.98,806733.62,81362.61,46689.22,144403.88,38071.21,2243.38,140851.11,1507.05,68621.24,122554.36,120778.42,47695.32,18019.15,8329.34,13589.33,125904.08,30254.55,16706.54,1172.8,27273.84,1185.03,4342.69,66931.75,139715.31,92053.57,1066.44,1262.78,20903.7,469990.19,27684.32,2909.29,1911.34,8925.65,71922.48,1778.72,12908.75,5147.07,84638.97,28534.63,171242.23,22369.23,223572,64772.67,31047.57,183651.33,797820.31,361600.03,167165.88,36414.51,49105.73,140734.33,266090.25,460467.31,26580.25,165370.08,18360.92,28221.62,94419.55,60820.89,5875.1,126750.05,61106.02,95480.05,37253.98,61301.12,201862.11
Endogenous,NPPB,2819.56,150.26,301028.78,329.8,1672.25,1813.21,5963.59,49956.37,123562.5,382.59,79989.98,19588.16,183967.83,29640.45,18669.71,12944.91,1588.12,72182.06,5029.34,23311.2,1772.24,1490.03,84041.98,1925.7,4432.45,29835.12,208857.27,49359.16,14467.78,664.44,34632.06,12819.41,152.55,19316.62,828.88,39608.8,204141.38,35399.22,5697.2,5181.29,908.34,3277.96,13183.82,32125.1,48178.57,479.23,4902.56,604.29,4405.51,24228.23,37091.45,60206.25,209.24,99594.09,56854.91,81842.03,27852.28,72589.04,87289.93,1102.87,21412.87,287.81,1902.25,2384.79,1271.87,16044.15,22509.36,6613.03,21025.17,10746.3,4829.77,23475.61,48164.37,37578.42,27512.82,11239.5,6165.25,92934.41,18926.69,54063.64,4564.03,44465.84,3083.72,12086.96,48233.02,14382.94,1166.52,90964.47,6881.26,30999.22,963.3,7315.86,33208.66
Endogenous,PLGLB1,603.28,300.52,379.58,530.55,656.68,552.6,628.97,190.57,291.02,542.4,363.41,642.7,285.3,287.67,605.99,628.84,554.78,533.77,544.9,529.07,705.45,576.53,509.69,693.05,886.49,433.15,177.23,519.88,428.77,520.25,711.93,580.5,300.61,765.71,3956,428.76,315.09,614.48,557.77,494.78,342.77,471.05,363.38,246.41,410.38,305.84,624.71,517.96,746.03,501.56,555.28,444.99,654.72,301.68,260.9,370.46,278.98,273.74,317.32,500.11,400.93,355.74,459.66,729.47,314.9,526.22,244.86,624.21,481.56,435.72,358.84,366.64,457.21,385.7,485.81,389.43,125.35,437.15,595.02,395.15,438.31,449.28,304.3,96.18,323.2,230.65,666.65,301.1,454.84,286.51,239.38,475.93,334.64
Endogenous,PPARGC1A,4877.08,5108.8,1908.95,4626.78,3917.18,5002.15,5434.46,2273.22,4763.84,4344.08,4223.95,5153.92,4147.05,4721.54,5170.27,5057.57,5081.98,4734.13,4329.48,6268.69,4490.81,4435.88,4573.14,4074.17,4446.16,6573.43,3049.92,4860.97,4190.27,2615.37,4172.43,4724.64,5087.99,4044.75,3541.56,5515.12,5706.96,4730.03,3521.3,3929.05,3461.99,4807.24,4870.84,4210.35,1520.73,4826.05,5452.71,5629.55,5508.86,4805.97,5075.55,5811.77,5221.98,2645.7,3448.32,4862.32,4073.65,2724.68,2354.7,3985.09,5317.21,3637.89,3446.57,4879.26,3349.41,4117.96,4826.38,4409.43,4177.03,5781.87,7276.33,4277.93,5843.81,5627.12,5692.03,5474.56,5209.07,6109.53,4536.09,5673.04,7063.34,5064.53,4865.4,4264.1,11578.64,4268,5936.11,4061.31,7372.95,3877.26,3642.71,4753.18,4589.2
Endogenous,PRKCZ,298.47,244.17,298.5,334.58,343.61,379.91,292.86,353.91,246.73,300.26,220.43,278.37,237.75,341.87,425.48,375.77,271.04,180.66,273.99,368.75,395.74,331.7,275.88,183.16,301.59,292.78,311.61,340.43,295.59,588.1,202.76,370.88,318.56,313.16,339.09,306.25,328.67,251.28,370.82,244.61,365.62,309.73,210.48,372.83,213.47,293.8,442.18,355.77,427.99,247.04,380.9,483.01,380.23,274.98,270.33,229.53,330.22,256.23,161.63,294.8,336.7,420.1,348.84,244.86,261.74,378.43,277.31,293.22,246.08,365.65,349.14,247.48,391.89,387.08,216.12,381.18,328.34,274.55,216.7,238.28,319.98,314.86,171.95,240.46,269.23,206.27,390.95,188.04,360.77,395,450.42,246.1,207.47
Endogenous,PTGFRN,2241.68,1540.15,549.1,2652.75,2107.49,2647.86,3847.05,735.05,1739.78,2610.32,2377.09,3274.93,1779.73,808.81,2372.39,2553.71,2333.48,2278.79,2415.64,2388.84,3514.36,3206.47,2571.81,2361.33,2165.96,3003.97,597.91,1303.65,2247.8,1294.96,2937.82,2031.75,870.43,2109.25,1733.1,2664.41,1958.46,1835,2341.4,2461.39,1262.54,3361.84,2505.91,1735.57,1879.82,1644.81,3509.17,1891.34,1291.81,1074.23,3563.44,3045.64,2452.37,1270.79,1059.33,2629.48,1067.52,1473.74,1252.97,2555.83,2209.02,843.78,897.53,2542.93,1529.52,2561.69,1870.37,2216.93,2662.35,2609.21,2656.05,1862.02,3354.14,4457.62,1963.78,2041.7,1646.14,2891.22,2424.14,2968.57,3302.17,3516.91,4151.6,3534.72,2523.45,3324.77,4742.02,2833.49,4226.9,1703.45,1668.71,3134.21,2837.72
Endogenous,RARA,742.99,150.26,1293.52,635.7,580.32,518.06,442.61,258.63,645.3,629.58,759.6,871.95,648.72,648.3,532.93,820.56,580.19,619.99,562.35,176.36,516.19,866.12,635.94,574.24,712.85,733.95,960.16,575.29,776.34,1077.25,752.48,370.88,354.45,545.5,715.85,530.84,858.35,812.97,600.67,553.15,559.86,616.23,651.3,670.66,638.74,517.76,606.71,444.71,431.91,475.36,697.54,749.11,512.97,552.63,433.79,434.89,458.32,499.74,545.67,658.04,710.39,446.92,481.47,533.07,656.39,846.43,371.71,650.86,774.31,648.84,510.13,425.57,810.68,811.35,521.31,553.76,820.85,579.12,782.34,710.87,458.47,714.43,346.15,336.64,999.09,530.69,1100.54,413.57,581.88,728.29,1044.24,514.57,543.45
Endogenous,RARB,1085.91,826.42,379.58,1123.24,1153.01,1393,1381.08,639.77,816.12,1128.39,920.45,1174.88,1124.22,802.56,1323.73,1284.52,1215.44,1055.22,1634.71,1699.44,1066.78,947.73,1645.96,1331.65,1384.57,1062.82,481.05,1005.44,1273.32,941.53,1153.5,1386.75,1283.21,1410.21,2298.25,1332.2,714.39,1239.52,1192.15,1331.46,1262.54,1235.69,1390.96,951.35,605.65,1249.86,1560.49,1331.52,1358.56,943.23,1507.52,1212,1547.92,937.07,921.02,1544.27,1064.67,940.59,731.02,1094.98,747.37,1208.46,1153.7,1168.17,1118.51,877.78,1345.25,1092.92,1168.89,1364.82,2068.98,1717.98,1048.89,1352.71,1673.54,1790.34,702.16,2160.76,1707.92,1463.43,1965.49,1694.93,1457.02,1915.64,1474.79,1196.39,2437,639.1,1884.33,1431.23,894.49,1533.54,1495.16
Endogenous,RARG,444.53,131.48,110.56,291.56,213.8,207.22,226.3,136.12,347.96,266.36,265.11,319.31,163.03,275.16,343.83,299.08,406.56,234.04,288.36,48.1,245.19,147.42,346.02,445.53,420.4,340.9,138.28,179.45,240.37,155.51,238.81,193.5,152.55,278.81,376.76,370.06,247.18,356.86,364.69,240.44,422.75,293.6,385.22,212.12,165.48,288.98,285.36,196.2,200.25,262.01,332.71,212.43,182.24,157.51,157.17,241.61,219.2,171.88,145.32,286.91,297.78,146.59,192.59,265.26,413.05,230.64,182.91,335.43,318.21,327.7,307.11,339.14,184.42,258.97,403.59,316.65,155.3,302.69,370.97,258.14,335.36,302.9,223.98,464.88,426.12,241.9,429.37,177.5,213.36,257.27,194.86,225.76,361.41
Endogenous,RCAN1,1898.76,732.51,3898.98,1070.66,1000.29,1231.83,1324.5,1851.24,2056.11,1036.38,896.62,1428.69,2048.05,2226.32,1108.84,1077.46,1304.37,788.34,1123.67,3992.08,1213.04,966.15,1547.76,1212.84,991.59,2221.89,3708.21,950.03,1312.3,1054.63,919.2,1612.5,390.35,893,640.49,803.92,1730.29,1024.14,609.87,910.34,839.79,832.4,1362.17,3942.52,469.95,1025.9,1210.86,899.89,840.27,1265.12,1298.72,3267.02,809.96,2453.48,1163.06,1844.26,1690.95,1476.93,3250.31,747.53,1298.16,738.3,955.67,834.04,1267.79,1914.55,867.33,939.64,1204.95,2748.61,1670.05,877.32,1302.47,2892.77,790.37,1926.9,1891.28,1773.63,991.7,1667.96,1308.03,1649.82,1662.9,833.58,3062.53,1046.37,1247.42,708.81,908.71,1745.03,1348.96,1474.56,1054.77
Endogenous,RTTN,787.45,319.3,574.9,630.92,1130.1,874.94,805.35,653.38,771.83,755.49,619.59,781.89,624.94,687.91,876.75,931.76,995.22,903.3,853.79,817.66,718.36,584.43,846.36,1064.33,1169.8,854.27,508.32,741.55,864.04,675.75,711.93,693.38,794.16,808.14,1544.72,663.55,706.24,823.53,1029.73,801.93,502.73,858.21,778.38,662.09,529.53,741.73,781.53,991.45,824.56,636.3,770.97,782.65,960.7,702.14,697.84,682.54,768.61,644.56,668.75,689.63,1015.95,725.79,721.29,828.94,668.65,741.19,672.63,855.23,905.84,1134.92,1108.84,772.57,584,947.73,933.62,1085.76,805.32,1171.37,1105.56,796.25,1032.09,746.65,852.94,512.97,1115.82,573.82,1168.33,851.74,1296.63,732.83,823.95,793.21,975.8
Endogenous,RhoA,2864.01,3193,3935.84,2480.68,2336.57,2998.99,2545.84,3539.14,2340.8,2450.5,2615.39,2750.94,3097.55,2807.91,2432.56,3067.52,3044.95,2775.6,3154.5,4473.06,2903.54,2356.15,3132.93,2747.47,2942.78,2955.84,3328.43,1934.36,2738.29,2321.31,2392.61,2160.76,2274.79,2394.12,8062.7,3720.98,3767.52,2512.83,2871.59,3305.02,2862.14,3339.26,3165.15,3049.02,2722.09,2995.81,2992.44,2678.74,3113.7,2930.74,2604.32,2761.65,2771.86,3513.36,3442.04,2621.43,2758.47,3658.9,3991.72,2626.9,2495.12,2869.2,2757.98,2629.65,3016.1,2982.67,3124.17,2867.79,2630.53,2690.22,2822.21,2715.77,3707.61,3008.48,1329.12,2479.16,2209.64,2802.42,3158.73,2988.42,2489.23,3167.06,3156.12,8969.04,1703.22,2422.78,3501.37,1941.32,2944.82,3368.56,1287.09,3366.07,2744.69
Endogenous,SLC8A1,64284.73,69175.38,43729.05,86604.02,164834.77,117858.43,100149.77,45546.05,89557.67,84276.04,64199.3,90367.52,85236.9,53946.48,106164.62,91879.75,71787.18,92588.49,109772.16,95777.92,73311.22,71482.16,104934.41,92438.59,73706.58,135346.94,50504.82,88107.05,94027.61,57034.76,80402.61,113149.4,53051.47,82691.13,79044.58,102551.59,109258.02,89986.76,86196.66,99791.23,81431.02,100364.9,77604.76,83934.95,40238.99,104819.63,111134.01,81432.23,155284.58,114212.92,102929.05,108793.44,178127.77,37907.43,49625.06,107089.87,61329.68,42249.97,30123.24,71231.51,114393.99,101549.98,79578.2,122409.95,73273.89,88335.77,96554.23,96554.2,75566.31,104355.33,146193.19,97029.37,180942.97,102066.47,107567.44,100481.69,155289.44,101783.18,81300.66,108786.53,110462.66,121447.41,113761.67,168792.69,100230.84,106054.95,97399.84,88047.2,121922.06,56620.43,83078.77,88852.05,85518.37
Endogenous,SRF,2597.3,2310.23,4304.36,3159.4,2023.5,3902.71,2888.62,2831.31,2549.57,3264.11,2606.46,3377.27,3396.43,2532.75,2595.88,3328.25,3451.51,3822.61,2765.57,4072.25,3514.36,2664.16,4507.68,2955.38,3783.57,2614.93,2962.28,2456.87,2900.7,2363.73,3343.35,2386.51,1749.84,2246.64,2373.6,2955.35,3813.7,2992.17,3346.61,2558.68,2302.28,3900.64,3085.72,3269.72,2002.27,2918.75,3486.03,2908.95,3168.67,2537.73,3485.43,3633.75,3410.82,3438.61,2709.62,4751.59,2143.58,2786.74,3064.96,3261.25,3115.98,2597.47,2298.32,2989.28,1985.52,3405.88,2398.44,2947.76,3364.54,3177.76,3777.17,2561.26,3108.25,4278.54,2830.13,3253.52,3541.86,3516.62,2927.34,4340.66,3250.7,4848.17,3661.78,3959.52,3575.88,2880.34,4088.48,2155.72,3367.17,3236.68,2573.03,3115.9,2972.24
Endogenous,TAB1,1251.02,694.95,626.49,1022.86,1099.56,1133.97,905.19,517.26,765.5,963.74,1066.41,1162.6,900.05,906.79,967.01,1204,1147.68,1071.65,992.32,416.84,1170.02,839.79,1150.3,1282.15,1348.01,1070.84,697.24,981.69,1013.46,1017.87,1130.97,999.75,1022.98,1113.22,1280.99,1166.32,980.59,1184.62,1247.32,1049.32,1131.15,1196.97,1096.09,1013.48,802.56,919.94,946.06,1072.54,1236.84,1066.75,1037.14,997.33,1230.69,856.98,858.15,863.74,1084.6,840.32,787.37,1208.16,1412.99,1038.63,1059.23,1040.64,1085.8,1030.05,843.73,1166.22,1062.82,1122.51,1291.82,978.15,1402.36,972.52,1256.87,1131.53,692.18,878.06,1392.05,986.87,1002.91,1115.84,764.71,953.81,1376.26,956.36,1307.99,1137.61,937.32,1013.49,1293.45,768.81,965.76
Endogenous,TGFA,260.36,169.04,73.7,215.09,76.36,155.42,232.95,217.79,25.31,116.23,59.58,188.31,30.57,104.23,30.08,180.22,42.35,127.28,189.84,80.16,103.24,150.06,60.79,44.55,246.75,68.18,72.06,145.14,87.7,124.41,225.29,209.63,53.84,157.59,828.88,84.22,122.23,209.05,125.65,159.83,62.84,100.02,75.46,53.57,57.92,86.7,151.68,88.94,86.38,160.95,158.32,178.89,96.74,56.06,97.45,18.12,54.09,54.11,123.07,97.39,70.07,75.08,83.58,127.53,114.51,138.83,64.9,82.19,169.71,85.39,137.07,68.09,130.63,45.46,62.91,57.03,29.95,151.97,202.01,95.31,117.27,49.72,115.38,32.06,556.03,46.88,85.42,230.22,161.96,94.2,23.71,124.07,73.62
Endogenous,TGFB1,1104.96,413.21,1864.73,731.3,1007.93,604.4,609.01,694.22,974.28,731.28,1310.68,1350.91,1239.7,1238.23,739.22,973.94,800.41,886.88,1015.92,513.04,739.87,721.32,1028.72,1054.43,1512.52,906.4,1353.57,955.3,1234.34,1385.44,1171.52,709.5,583.28,1010.18,1921.48,1480.23,1040.35,1410.56,1057.31,1004.85,925.48,964.67,1041.48,889.21,2579.78,845.28,1092.6,656.61,730.33,782.28,949.94,974.96,746.96,1425.63,1018.47,773.14,970.73,1467.38,1589.57,829.13,1479.17,852.72,1057.41,714.16,1312.77,893.46,651.97,1066.26,1158.28,1061.93,1022.2,911.37,1156.47,1017.98,1271.82,1067,991.68,1203.27,1759.34,853.84,1029.97,1100.18,796.38,2653.04,2354.64,894.48,1204.49,2482.01,939.26,1660.57,2481.09,884.74,1533.97
Endogenous,TGFB1I1,1244.67,319.3,2970.3,1032.42,733.04,1341.2,618.99,884.79,929.99,891.09,1319.61,1162.6,1331.4,979.75,773.61,1184.83,842.76,973.1,851.73,416.84,864.61,710.79,1112.89,1079.18,1133.24,1022.71,1637.92,773.22,1159.63,698.37,1022.83,757.88,623.66,763.69,1017.26,911.1,1325.56,1110.71,1094.08,829.73,862.64,1055.01,1060.35,1427.02,1560.45,650.22,876.65,745.55,981.62,842.17,826.04,820.67,879.7,1164,908.45,829.51,754.38,1045.63,1290.04,831.76,1136.62,695.4,892.08,696.31,946.75,803.89,519.22,1041.82,818.86,969.97,766.17,682.22,610.89,1011.09,797.22,574.77,774.26,703.57,1656.5,1008.72,672.85,1266.82,583.71,561.07,1297.18,860.73,887.66,528.97,487.33,1075.86,589.77,644.74,851.32
Endogenous,TGFB3,819.2,601.04,471.71,650.04,901.03,1030.36,938.47,435.59,556.73,648.95,1548.98,1158.51,964.59,466.94,657.57,1196.33,758.06,706.22,1098.02,801.62,873.21,671.31,1173.68,1376.21,1114.97,1090.89,467.42,765.3,838.05,1088.56,973.27,628.88,1040.93,931.38,979.58,962.15,893.67,1188.84,904.08,1022.92,531.3,1125.99,1232.11,833.5,779.4,686.34,915.21,690.61,479.03,490.33,738.85,943.66,584.97,435.17,634.97,982.53,609.2,501.33,539.74,694.89,751.26,922.43,939.31,578.98,732.04,904.65,572.32,1128.46,837.95,1188.92,1256.9,881.25,657,1000.07,701.93,801.37,611.2,1399.02,1733.63,798.24,1598.82,1523.69,1335.98,1041.98,1594.65,721.96,2132.37,894.51,1284.99,1027.14,1415.45,1128.8,1319.14
Endogenous,TGFBR1,889.05,582.25,983.96,721.74,1145.38,1007.34,735.47,558.1,816.12,900.78,840.02,990.67,852.5,729.6,674.76,935.59,813.12,800.65,763.48,977.98,688.25,663.41,846.36,900.97,959.6,1042.77,825.78,804.88,860.79,766.23,1013.82,999.75,515.98,895.02,1695.43,780.95,763.28,912.22,959.24,775.53,611.28,780.77,1051.41,739.22,830.69,611.68,922.92,795.25,706.77,696.19,823.74,720.04,789.71,654.08,660.12,670.46,623.43,600,811.1,892.3,940.05,557.75,677.69,655.5,732.04,763.58,525.12,826.35,818.86,813.78,675,683.53,461.05,792.07,842.06,622.04,635.6,1054.42,1035.77,663.21,815.59,684.97,753.4,961.83,790.74,710.71,647.67,834.76,745.3,502.2,640.66,1045.41,948.36
Endogenous,TGFBR2,6001.09,7362.68,6920.88,5272.05,9224.09,4530.14,4419.45,6261.56,4947.31,5104.41,6157.2,5862.12,8161.63,6681.03,6124.39,6238.56,4853.29,5637.43,6005.24,6653.47,5088.73,5567.88,4498.32,5529.58,5670.79,6328.78,6290.71,5523.35,4781.45,8425.72,5470.12,4934.26,6914.1,5054.93,6442.62,5760.12,6182.32,4875.73,5979.15,5489.83,6655.48,6107.46,5857.71,6449.45,4898.11,4568.37,5727.79,5477.82,5175.11,4723.63,5059.49,6254.53,7024.14,5844.03,6431.42,4024.75,6664.16,6733.7,5599.08,5432.78,5901.09,7976.55,7142.05,5317.96,6782.65,5083.07,5360.35,5262.43,5738.38,5231.56,7096.59,6103.29,8014.59,5664.31,6983.15,5501.57,4679.96,7100.79,6839.03,4445.9,6410.12,4749.66,4460.42,6828.97,8646.64,5106.22,6912.81,6533.95,7901.01,11065.9,9431.16,6697.56,6432.38
Endogenous,TGFBR3,1612.99,882.77,1013.44,1065.88,2428.2,995.82,1231.32,1442.88,765.5,1012.16,1370.25,1183.07,1613.31,1846.93,1336.62,1081.3,707.24,1469.92,1088.78,1138.3,1410.91,1150.43,673.35,985.13,1311.46,1203.19,617.39,1591.29,773.09,2431.58,1158.01,645,1902.39,1103.11,2750.36,1452.15,1279.38,844.65,1532.33,1184.14,1142.57,900.15,1115.94,1135.62,961.42,633.36,1082.32,999.3,1370.34,1066.75,917.82,970.49,1295.93,573.99,1087.62,426.84,1850.37,768.7,673.19,834.39,1070.45,1371.14,1726.01,1032.98,1891.45,918.09,1100.39,1144.01,933.42,700.66,993.11,790.9,995.1,695.64,1472.37,723.34,599,1196.39,1777.71,822.06,1036.34,655.51,628.96,929.77,937.59,1025.75,1215.33,1210.84,1226.32,1514.39,2507.11,1529.48,1008.59
Endogenous,TGFBR3L,120.66,131.48,44.22,90.81,83.99,161.17,76.54,81.67,44.29,62.96,77.45,85.97,50.95,58.37,38.68,122.7,71.99,90.33,89.28,160.32,73.13,89.51,79.49,49.5,132.52,52.14,19.48,60.7,61.72,67.86,130.67,32.25,35.89,64.65,753.52,63.8,62.48,90.8,82.75,98.68,45.7,54.85,41.7,38.57,39.71,16.86,61.7,39.24,51.04,37.43,80.31,51.43,65.25,40.05,34.58,24.16,31.31,33.42,54.86,76.33,58.39,44.69,65.41,99.47,55.21,78.37,29.5,46.65,63.64,42.33,91.81,47.14,57.63,53.72,45.47,29.26,25.51,82.55,58.77,63.54,66.33,49.72,78.05,48.09,28.24,26.25,61.47,114.23,79.52,37.03,16.19,52.88,56.89
Endogenous,TGM2,4794.52,3136.65,17114.25,4411.7,5222.91,4150.23,3906.95,8371.43,6067.1,4658.86,6794.66,5448.66,12661.9,11740.28,5423.84,7024.61,4722,6963.64,3906.69,4809.74,4469.3,3969.92,11947.21,5871.16,4619.8,4716.51,18564.4,6563.1,4625.53,10427.53,9043.27,2918.63,8421.65,3953.84,2901.06,6931.54,9569.55,5688.71,7606.49,4500.27,6386.97,7110.85,5794.17,12196.1,9112.81,3135.49,5283.04,3819.3,6890.98,8676.2,6075.98,6299.25,3683.06,16552.29,12674.24,9925.98,10475.92,15055.74,17861.9,4495.73,8145.14,9488.91,12870.59,4203.35,10626.9,6151.19,5493.11,4524.94,7624.3,6386.18,5455.63,6606.12,4487.55,8026.74,10133.42,5764.19,3818.07,7462.27,10063.87,7763.94,7096.24,11768.75,3428.74,5658.75,11304.39,5845.06,9296.02,6794.04,4034.88,18905.53,15207.47,3418.95,6605.72
Endogenous,TIMP1,2813.21,2084.84,34114.26,1864.1,3581.21,2164.34,1863.62,18417.16,3979.36,1796.71,5481.01,3369.08,7017.03,8521.71,2617.37,3255.4,1643.17,2886.46,3152.44,9218.67,4000.44,2798.42,3525.71,3381.11,3536.82,4387.64,22985.42,2327.57,4187.02,6316.46,3000.9,3483.01,1920.33,2759.81,1356.34,2238.2,7399.22,4476.64,5222.18,2722.68,2142.32,2897.25,3267.41,8973.52,13881.85,1844.69,3221.24,2563.64,1515.62,2410.47,2214.24,2781.78,1829.16,13855.87,14346.54,2865.05,6575.92,11288.62,14107.43,2068.88,2853.23,2556.36,5094.46,2073.62,2962.94,2713.96,2348.29,3840.75,2535.07,3279.21,2643.12,3536.79,3861.29,4147.68,4045.89,2951.88,2870.76,6079.51,6023.63,2507.89,3441.2,3194.68,2839.38,3238.15,4660.95,2837.21,3504.99,5090.55,2855.59,12771.95,5295.24,4543.69,4002.92
Endogenous,TIMP2,4165.84,1033.03,1275.09,3484.43,3306.32,2676.64,2086.59,1157.03,2884.88,3327.07,4480.13,4208.28,2540.53,2236.74,3094.43,3999.27,3260.94,3379.17,3767.13,737.49,3277.78,2458.82,3829.65,3455.37,4802.58,3741.92,1265.93,2375.07,2692.81,2151.67,3721.84,1967.25,1884.44,3281.06,3089.44,2932.38,2428.38,3249.79,4924.91,3524.61,2667.9,4355.56,3859.14,1581.29,2530.14,3012.67,4439.81,3895.17,2485.46,2111.03,3412,2924.89,3892.3,1577.81,1754.02,3368.39,2106.57,1693.37,1444.25,3492.88,3392.35,1603.53,1767.8,3047.94,3345.32,2510.19,3009.11,3049.95,3389.99,3674.79,3233.42,3026.11,3865.14,3441.02,4561.59,2727.52,2684.4,4152.65,4719.74,2503.92,3988.82,3999.33,2414.03,2949.6,5299.19,3711.06,5596.23,1588.67,3085.92,2919.64,2646.46,3044.72,2774.81
